CMDLINE python simulation.py
MEM 155.378906 1562420917.8463
MEM 166.593750 1562420917.9642
MEM 166.812500 1562420918.0820
MEM 166.812500 1562420918.2033
MEM 167.183594 1562420918.3233
MEM 167.398438 1562420918.4454
MEM 167.886719 1562420918.5671
MEM 167.886719 1562420918.6865
MEM 168.656250 1562420918.8043
MEM 168.656250 1562420918.9249
MEM 169.292969 1562420919.0445
MEM 169.292969 1562420919.1664
MEM 169.851562 1562420919.2876
MEM 173.457031 1562420919.4049
MEM 180.160156 1562420919.5228
MEM 180.160156 1562420919.6412
MEM 180.640625 1562420919.7618
MEM 158.191406 1562420919.8837
MEM 158.582031 1562420920.0055
MEM 158.582031 1562420920.1236
MEM 181.519531 1562420920.2413
MEM 181.519531 1562420920.3591
MEM 181.574219 1562420920.4802
MEM 158.812500 1562420920.5995
MEM 158.812500 1562420920.7212
MEM 158.812500 1562420920.8428
MEM 145.066406 1562420920.9840
MEM 145.066406 1562420921.1047
MEM 145.066406 1562420921.2283
MEM 148.703125 1562420921.3574
MEM 160.820312 1562420921.4859
MEM 174.742188 1562420921.6163
MEM 208.773438 1562420921.7454
MEM 228.882812 1562420921.8752
MEM 231.066406 1562420922.0053
MEM 231.066406 1562420922.1360
MEM 231.066406 1562420922.2731
MEM 258.902344 1562420922.3971
MEM 300.925781 1562420922.5269
MEM 324.902344 1562420922.6531
MEM 303.070312 1562420922.7681
